item_base;item_add;support;confidence;lift
['Animais na Pista'];['Atropelamento de Animal'];0.015118442710942532;0.7745187901008249;48.969914271849895
['Entrada inopinada do pedestre'];['Atropelamento de Pedestre'];0.008838474200243326;0.9536679536679535;20.31341816555231
['Pedestre andava na pista'];['Atropelamento de Pedestre'];0.010734988907178129;0.9661835748792269;20.580004713090606
['Pedestre cruzava a pista fora da faixa'];['Atropelamento de Pedestre'];0.009303657052887711;0.9558823529411764;20.360585545193686
['Área urbana sem a presença de local apropriado para a travessia de pedestres'];['Atropelamento de Pedestre'];0.00166392328061261;0.9207920792079208;19.613152016421154
['Condutor desrespeitou a iluminação vermelha do semáforo'];['Colisão transversal'];0.004383453803764403;0.914179104477612;7.311862980461174
['Desrespeitar a preferência no cruzamento'];['Colisão transversal'];0.022901309668646674;0.8683853459972863;6.945591551013212
['Condutor deixou de manter distância do veículo da frente'];['Colisão traseira'];0.06095684534459314;0.7559352118926115;3.9825366069471055
['Estacionar ou parar em local proibido'];['Colisão traseira'];0.0017712731696843914;0.7674418604651163;4.043157740137269
['Curva acentuada'];['Curva'];0.004562370285550705;0.8854166666666667;5.067865676736645
['Incêndio'];['Demais falhas mecânicas ou elétricas'];0.015637300508122808;0.8627838104639683;21.150312602829874
['Derramamento de carga'];['Sem Vítimas'];0.0017175982251485006;0.7384615384615385;4.107283541416291
['Incêndio'];['Sem Vítimas'];0.0174085736778072;0.9605133267522211;5.342323699754716
['Animais na Pista', '101.0'];['Atropelamento de Animal'];0.001914406355113433;0.732876712328767;46.33704208764643
['Entrada inopinada do pedestre', '101.0'];['Atropelamento de Pedestre'];0.0017712731696843914;0.9428571428571428;20.083144599303136
['Pedestre andava na pista', '101.0'];['Atropelamento de Pedestre'];0.002021756244185214;0.9826086956521739;20.92986479321315
['Pedestre cruzava a pista fora da faixa', '101.0'];['Atropelamento de Pedestre'];0.002683747226794532;0.9433962264150942;20.094627243442243
['Condutor desrespeitou a iluminação vermelha do semáforo', '101.0'];['Colisão transversal'];0.001145065483432334;0.9411764705882353;7.527795548671672
['Desrespeitar a preferência no cruzamento', '101.0'];['Colisão transversal'];0.00413297072926358;0.8191489361702128;6.551784822613842
['Condutor deixou de manter distância do veículo da frente', '101.0'];['Colisão traseira'];0.015440492378157877;0.7691622103386809;4.052221157531299
['Incêndio', '101.0'];['Demais falhas mecânicas ou elétricas'];0.002415372504115079;0.8940397350993377;21.91652143604043
['Incêndio', '101.0'];['Sem Vítimas'];0.0026300722822586416;0.9735099337748344;5.414610132206493
['116.0', 'Animais na Pista'];['Atropelamento de Animal'];0.0018428397623989122;0.7862595419847328;49.71223791924286
['116.0', 'Entrada inopinada do pedestre'];['Atropelamento de Pedestre'];0.0017712731696843914;0.9428571428571428;20.083144599303136
['116.0', 'Pedestre andava na pista'];['Atropelamento de Pedestre'];0.0021291061332569957;0.9754098360655739;20.776526889244305
['116.0', 'Pedestre cruzava a pista fora da faixa'];['Atropelamento de Pedestre'];0.0012703070206827453;0.9594594594594593;20.43677900461437
['116.0', 'Desrespeitar a preferência no cruzamento'];['Colisão transversal'];0.002558505689544121;0.9050632911392406;7.2389521276981155
['116.0', 'Condutor deixou de manter distância do veículo da frente'];['Colisão traseira'];0.009768839905532097;0.7146596858638743;3.765082398181135
['116.0', 'Incêndio'];['Demais falhas mecânicas ou elétricas'];0.0031310384312602875;0.8663366336633663;21.237406635400383
['116.0', 'Incêndio'];['Sem Vítimas'];0.0034709797466542618;0.9603960396039605;5.341671354915371
['Condutor deixou de manter distância do veículo da frente', '153.0'];['Colisão traseira'];0.0016102483360767193;0.7258064516129031;3.8238075401591463
['Acessar a via sem observar a presença dos outros veículos', '163.0'];['Colisão transversal'];0.0026300722822586416;0.7903225806451613;6.321223479882563
['Condutor deixou de manter distância do veículo da frente', '163.0'];['Colisão traseira'];0.0014313318542904171;0.7339449541284403;3.8666840773067004
['222.0', 'Condutor deixou de manter distância do veículo da frente'];['Colisão traseira'];0.0010377155943605526;0.8656716417910448;4.560667301629285
['230.0', 'Acessar a via sem observar a presença dos outros veículos'];['Colisão transversal'];0.0013060903170400058;0.7156862745098039;5.724261198469084
['Desrespeitar a preferência no cruzamento', '277.0'];['Colisão transversal'];0.0010556072425391826;0.8082191780821917;6.464365526813087
['Condutor deixou de manter distância do veículo da frente', '277.0'];['Colisão traseira'];0.0017354898733271309;0.8220338983050848;4.330768087856329
['Acessar a via sem observar a presença dos outros veículos', '280.0'];['Colisão transversal'];0.0018965147069348028;0.8281249999999999;6.623577919290211
['282.0', 'Condutor deixou de manter distância do veículo da frente'];['Colisão traseira'];0.001234523724325485;0.8214285714285714;4.327579009735669
['Acessar a via sem observar a presença dos outros veículos', '316.0'];['Colisão transversal'];0.0017891648178630214;0.7462686567164178;5.968867739151978
['316.0', 'Condutor deixou de manter distância do veículo da frente'];['Colisão traseira'];0.0011271738352537036;0.8289473684210527;4.367190716918604
['324.0', 'Condutor deixou de manter distância do veículo da frente'];['Colisão traseira'];0.001234523724325485;0.811764705882353;4.276666315503485
['364.0', 'Desrespeitar a preferência no cruzamento'];['Colisão transversal'];0.0010734988907178129;0.8823529411764705;7.057308326879691
['Condutor deixou de manter distância do veículo da frente', '364.0'];['Colisão traseira'];0.0019680812996493236;0.7534246575342465;3.9693101101804227
['376.0', 'Condutor deixou de manter distância do veículo da frente'];['Colisão traseira'];0.0018428397623989122;0.7573529411764706;3.990005711022273
['Condutor deixou de manter distância do veículo da frente', '381.0'];['Colisão traseira'];0.002415372504115079;0.7417582417582418;3.907847266316491
